id,author_name,author_id,channel_name,channel_url,content,sticker_url,like_count,comment_count,created_at_iso
1i31iefnuss7LOsSpylXtOipc1hf2c,尋求真實,1g1tuap176i3BJWTBEPHDYX4O11u0c,尋求真實,https://www.ganjingworld.com/channel/1g1tuap176i3BJWTBEPHDYX4O11u0c,#幸福土雞農場 #好禮美食不間斷,,0,0,2025-11-08T03:08:32.692000Z
1i31gilhh2c1hsLL4tnEtUXLH1rr2c,台北好生活,1hdjechsrur71xZrqx9qazKWi1ko0c,台北好生活,https://www.ganjingworld.com/channel/1hdjechsrur71xZrqx9qazKWi1ko0c,#幸福土雞農場 #好禮美食不間斷,,0,0,2025-11-08T02:35:05.506000Z
1i302co030j2CPQ7zvLjx0NUz15b2c,西西里小姐的慢漫手記,1hqim28r5fl3WW0Sh8ImmxUWn1760c,西西里小姐的慢漫手記,https://www.ganjingworld.com/channel/1hqim28r5fl3WW0Sh8ImmxUWn1760c,#幸福土雞農場 #好禮美食不間斷,,0,0,2025-11-07T12:48:34.630000Z
1i2v7vhlkgn4EUZYPD6BHR95613d2c,妺寞吾聞,1h66nnjn0a84kCg5dAsmIwyxS14j0c,妺寞吾聞,https://www.ganjingworld.com/channel/1h66nnjn0a84kCg5dAsmIwyxS14j0c,#幸福土雞農場 #好禮美食不間斷,,0,0,2025-11-07T04:55:54.501000Z
1i2v7tmpra73J7I7xhjhAH4yI1c62c,..,1hod220ac7s2IK6Aisnh99ZXL1v40c,..,https://www.ganjingworld.com/channel/1hod220ac7s2IK6Aisnh99ZXL1v40c,#幸福土雞農場 #好禮美食不間斷,,1,0,2025-11-07T04:54:52.773000Z
1i2sg15tu7u63dLW7TNBKPrZE1uj2c,小藍生活日記,1g1tupvcvu67ou5v6zPueVjgv1e50c,小藍生活日記,https://www.ganjingworld.com/channel/1g1tupvcvu67ou5v6zPueVjgv1e50c,,https://image1-us-west.cloudokyo.cloud/image/v2/89/47/32/894732ef-44e9-4b18-8bc2-32145516c6ea/origin.gif,1,0,2025-11-06T02:42:00.019000Z
1i2qptnv3j525dkfnYvvepj9N1tb2c,桂花香,1g1tup4jjpti3F1JyGI8zVZsb1to0c,桂花香,https://www.ganjingworld.com/channel/1g1tup4jjpti3F1JyGI8zVZsb1to0c,,https://image1-us-west.cloudokyo.cloud/image/v2/89/47/32/894732ef-44e9-4b18-8bc2-32145516c6ea/origin.gif,2,0,2025-11-05T10:33:42.655000Z
1i2qj8cuslt7hFqw6dZEPd4jT1872c,Guest 1762331602103,1i2qj6htas63Zi57LedvJmScs1ai0d,Guest 1762331602103,https://www.ganjingworld.com/channel/1i2qj6htas63Zi57LedvJmScs1ai0d,#幸福土雞農場 #好禮美食不間斷,,1,0,2025-11-05T08:34:24.020000Z
1i2q2uk090p75UJJuG0uWpNXM17i2c,Ryan,1g1ttogslrv4NgKBLT5fxL7iv1de0c,Ryan,https://www.ganjingworld.com/channel/1g1ttogslrv4NgKBLT5fxL7iv1de0c,#幸福土雞農場 #好禮美食不間斷,,1,0,2025-11-05T03:42:35.992000Z
1i2pv43rskr4Y4yzKCRQ7rfMW1tk2c,生活隨記,1g1ttl51mua2rhT47cJXrxefG1vg0c,生活隨記,https://www.ganjingworld.com/channel/1g1ttl51mua2rhT47cJXrxefG1vg0c,「 #幸福土雞農場 #好禮美食不間斷 」,,1,0,2025-11-05T02:34:05.430000Z
1i2purn1k9meI0I0RTzQsNz3S1qp2c,Terry札記,1g1tunkhl271o6pOlh8VrL8rm1nk0c,Terry札記,https://www.ganjingworld.com/channel/1g1tunkhl271o6pOlh8VrL8rm1nk0c,#幸福土雞農場 #好禮美食不間斷,,1,0,2025-11-05T02:29:23.551000Z
1i2psbri2ro5t7PqfpLBbm1wI1pk2c,靜心庭園,1g1ttas13131mk1QQ8Aln3c4m16d0c,靜心庭園,https://www.ganjingworld.com/channel/1g1ttas13131mk1QQ8Aln3c4m16d0c,,https://image1-us-west.cloudokyo.cloud/image/v2/89/47/32/894732ef-44e9-4b18-8bc2-32145516c6ea/origin.gif,1,0,2025-11-05T01:44:43.930000Z
