id,type,title,owner_name,channel_name,channel_url,created_at_iso,like_count,share_count,lang,hashtags,post_url,poster_url
1i2vvdc64g67MXCBxBtA5qRhn1r41c,Video,台南鹽鄉的光　一寸一寸慢慢亮／空拍陳錫興　#善良很酷,廖儷芬台灣go,廖儷芬台灣go,https://www.ganjingworld.com/channel/1f6qmgtbprg1KZqkTSvuT15Mm19m0c,2025-11-07T11:55:14.574000Z,1,1,zh-TW,#台南;#台灣旅遊;#善念点亮台湾;#善良很酷;#水晶教堂;#記錄自然,https://www.ganjingworld.com/zh-TW/video/1i2vvdc64g67MXCBxBtA5qRhn1r41c,https://image5-us-west.cloudokyo.cloud/image/v3/17/2b/d3/172bd3ff-d2dc-45b4-a3c6-051a6ea7c64b/672.webp
1i2v8pkbgev5tLZHUuwK8RHa01ip1c,Post,,CCTC 教育公益,CCTC 教育公益,https://www.ganjingworld.com/channel/1fqjgerdnp54F5xJGIvv5Q6BI1u00c,2025-11-07T05:10:29.730000Z,3,3,zh-TW,#2024我愛我家世界兒童青少年繪畫大賽頒獎典禮;#cctc教育公益;#cctc社團法人中華國際文旅商發展協會;#乾淨世界;#兒童繪畫;#呂冠澄;#善念點亮台灣;#桃園市立圖書館;#蔣柏立,https://www.ganjingworld.com/zh-TW/post/1i2v8pkbgev5tLZHUuwK8RHa01ip1c,https://image5-us-west.cloudokyo.cloud/image/v3/f5/aa/d3/f5aad3c5-de80-4d27-a477-c9dbb2824c51/672.webp
1i28hkt8mjc2hQlSvtLvtTLck1d21c,News,【親子對話】 班上的一位優秀同學,雪莉玫·三寶之家,雪莉玫·三寶之家,https://www.ganjingworld.com/channel/1f9dkocivp05AXnU2YJlMWhz115q0c,2025-10-29T04:17:40.997000Z,37,3,zh-TW,#kindnessiscool;#同學;#品德;#品德教育;#品格教育;#善念;#善念點亮台灣;#善良很酷;#對話;#小學;#心存善念;#班級;#親子;#親子對話,https://www.ganjingworld.com/zh-TW/news/1i28hkt8mjc2hQlSvtLvtTLck1d21c,https://image5-us-west.cloudokyo.cloud/image/v3/7b/a6/a6/7ba6a6c8-7157-4a51-9ed3-b5700ae5e3e6/672.webp
1i31f470a674lFpulTNkDa9kG1gv1c,Post,,臺灣教育科技展 EdTech Taiwan,臺灣教育科技展 EdTech Taiwan,https://www.ganjingworld.com/channel/1i1j1omcnkd7yJEJMlVqbtE2P1ql0c,2025-11-08T02:09:06.758000Z,2,3,zh-TW,#2025臺灣教育科技展;#iPhone17;#乾淨世界;#乾淨校園;#乾淨樂學;#乾淨講堂;#假日樂學;#友善校園;#善念點亮台灣;#影片挑戰;#應用乾淨世界成果發表;#我是大明星;#臺灣教育科技展;#資訊月,https://www.ganjingworld.com/zh-TW/post/1i31f470a674lFpulTNkDa9kG1gv1c,
1huto59a3al6rmh8iUZpW3piB1l11c,Post,,臻的教學及生活手札,臻的教學及生活手札,https://www.ganjingworld.com/channel/1ft4sklrcdr5QSRrwnPbPQgem1vf0c,2025-09-16T16:59:20.942000Z,4,0,zh-TW,#善念點亮台灣;#妍妍;#臻的教學及生活手札;#芸朵兔,https://www.ganjingworld.com/zh-TW/post/1huto59a3al6rmh8iUZpW3piB1l11c,
1i2vlndi59q2xLjxqqxQCSJgY1ln1c,Video,林宣宏：把豐原沒落的漆器再做起來的人　　#善念點亮台灣,廖儷芬台灣go,廖儷芬台灣go,https://www.ganjingworld.com/channel/1f6qmgtbprg1KZqkTSvuT15Mm19m0c,2025-11-07T09:01:54.143000Z,4,0,zh-TW,#善念點亮台灣,https://www.ganjingworld.com/zh-TW/video/1i2vlndi59q2xLjxqqxQCSJgY1ln1c,https://image1-us-west.cloudokyo.cloud/image/v3/f6/e0/f4/f6e0f49b-b9b1-41e3-84be-6b86fd56cba5/672.webp
1i2llr3tegu3PYU1QaRFEO9dE1g41c,Post,,靖庭,靖庭,https://www.ganjingworld.com/channel/1i2lloel3pu6gcLgGMgs9rBVX1cs0c,2025-11-03T09:37:20.861000Z,0,0,zh-TW,#友善校園;#善念點亮台灣,https://www.ganjingworld.com/zh-TW/post/1i2llr3tegu3PYU1QaRFEO9dE1g41c,https://image5-us-west.cloudokyo.cloud/image/v3/43/d0/a0/43d0a019-662a-430c-92bb-4e17031cb0e0/360.webp
1i31e15pk291AWpJTDlujGBjN1fv1c,Post,,瀟灑哥,瀟灑哥,https://www.ganjingworld.com/channel/1g1tt92q06e2swyygtlgHfRtV1rc0c,2025-11-08T01:49:31.085000Z,1,0,zh-TW,#公益列車X小小職人;#善念點亮台灣;#城市印象,https://www.ganjingworld.com/zh-TW/post/1i31e15pk291AWpJTDlujGBjN1fv1c,
1hutmp0dnrm5bAhDnVFqu3RQi1ls1c,Post,,臻的教學及生活手札,臻的教學及生活手札,https://www.ganjingworld.com/channel/1ft4sklrcdr5QSRrwnPbPQgem1vf0c,2025-09-16T16:34:35.230000Z,3,0,zh-TW,#善念點亮台灣;#妍妍;#臻的教學及生活手札;#芸朵兔,https://www.ganjingworld.com/zh-TW/post/1hutmp0dnrm5bAhDnVFqu3RQi1ls1c,
1i2u3o2grj01wb5ZIpLa3HRnA1sl1c,Video,✨ 智協35，向愛前行｜新竹智協感謝有您35週年募款音樂餐會 #社團法人新竹市智障福利協進會 #善念點亮台灣 #蘇維拉樂團  #Aries的生活日記  #ariesslifediary,Aries的生活日記 Aries's Life Diary,Aries的生活日記 Aries's Life Diary,https://www.ganjingworld.com/channel/1fsq6f9bos2NE2YqYyXeglooK1hn0c,2025-11-06T18:07:29.029000Z,72,6,zh-TW,#Aries的生活日記;#ariesslifediary;#善念;#善念點亮台灣;#愛心;#新竹市智障福利協進會;#智協;#智障協進會;#社團法人新竹市智障福利協進會;#蘇盛泉;#蘇維拉;#蘇維拉樂團;#陳慶田;#陳慶田理事長;#音樂餐會,https://www.ganjingworld.com/zh-TW/video/1i2u3o2grj01wb5ZIpLa3HRnA1sl1c,https://image5-us-west.cloudokyo.cloud/image/v3/98/28/ce/9828ce07-baa0-4b77-a28e-e1f66604e3b6/672.webp
