id,type,title,owner_name,channel_name,channel_url,created_at_iso,like_count,share_count,lang,hashtags,post_url,poster_url
1i1gi0djsqn4azrgCagl3Hdnz1ek1c,Video,原生種的守護與傳承　黃家豐的蘭花路　#善念点亮台湾,廖儷芬台灣go,廖儷芬台灣go,https://www.ganjingworld.com/channel/1f6qmgtbprg1KZqkTSvuT15Mm19m0c,2025-10-19T15:20:13.519000Z,15,3,zh-TW,#善念点亮台湾;#善良很酷,https://www.ganjingworld.com/zh-TW/video/1i1gi0djsqn4azrgCagl3Hdnz1ek1c,https://image5-us-west.cloudokyo.cloud/image/v3/6b/8e/da/6b8eda2c-1a3a-4d9d-b3e5-378774b02bc5/672.webp
1i1c8cf8pg02h0I8P6w4fjlKU1h51c,Shorts,"#善念點亮台灣
#美業點亮台灣

🌟美肌見證🌟  
感謝《中信房屋店長》指定剪刀手美學美肌護理！  
#不用濾鏡 #就能發光",剪刀手造型美學會館,剪刀手造型美學會館,https://www.ganjingworld.com/channel/1g0t2htkkqn4yaZcQySvFydpk1hr0c,2025-10-17T22:17:21.534000Z,5,0,zh-TW,#不用濾鏡;#個人化保養品;#台中美髮;#善念點亮台灣;#就能發光;#美容;#美業點亮台灣;#美睫;#美胸;#美髮;#美髮美容沙龍;#霧眉,https://www.ganjingworld.com/zh-TW/shorts/1i1c8cf8pg02h0I8P6w4fjlKU1h51c,https://image1-us-west.cloudokyo.cloud/image/v3/ee/35/94/ee359418-cd65-4319-9c92-87852ddb0ae7/1920.jpg
1i0uf8mgmmu208wd0sse92IQW1nc1c,News,雲林二崙的職人農夫   廖而長的稻香人生   #善念很酷,廖儷芬台灣go,廖儷芬台灣go,https://www.ganjingworld.com/channel/1f6qmgtbprg1KZqkTSvuT15Mm19m0c,2025-10-12T10:43:14.771000Z,13,2,zh-TW,#二崙;#台南11號米;#善念很酷;#善念点亮台湾;#善良很酷;#廖而長;#記錄自然;#雲林,https://www.ganjingworld.com/zh-TW/news/1i0uf8mgmmu208wd0sse92IQW1nc1c,https://image5-us-west.cloudokyo.cloud/image/v3/00/7e/37/007e3734-e01b-44dc-abd6-93d616a7d4a4/672.webp
1i1j3iq12cd1yqW3se2sWnsio1371c,Post,,剪刀手造型美學會館,剪刀手造型美學會館,https://www.ganjingworld.com/channel/1g0t2htkkqn4yaZcQySvFydpk1hr0c,2025-10-20T15:40:03.601000Z,2,1,zh-TW,#善念點亮台灣;#心靈充電中;#正能量滿滿;#法輪大法好;#生命更美好;#生日快樂;#真善忍好;#祝福生活更富足昌盛安康,https://www.ganjingworld.com/zh-TW/post/1i1j3iq12cd1yqW3se2sWnsio1371c,
1huto59a3al6rmh8iUZpW3piB1l11c,Post,,臻的教學及生活手札,臻的教學及生活手札,https://www.ganjingworld.com/channel/1ft4sklrcdr5QSRrwnPbPQgem1vf0c,2025-09-16T16:59:20.942000Z,4,0,zh-TW,#善念點亮台灣;#妍妍;#臻的教學及生活手札;#芸朵兔,https://www.ganjingworld.com/zh-TW/post/1huto59a3al6rmh8iUZpW3piB1l11c,
1i1c0vm1mdc5zfRta42uLFXqV1m41c,Post,,太陽妹,太陽妹,https://www.ganjingworld.com/channel/1g1tvo5legh66NK0Na3ixxkyT1d90c,2025-10-17T20:04:56.241000Z,19,0,zh-TW,#2025台灣法會;#2025台灣法輪大法排字活動;#善念點亮台灣;#屏東好優,https://www.ganjingworld.com/zh-TW/post/1i1c0vm1mdc5zfRta42uLFXqV1m41c,https://image1-us-west.cloudokyo.cloud/image/v3/c1/8a/1d/c18a1dd9-66bb-4564-88be-5cdd23de76a8/672.webp
1i1aeppvurf1dWP9kGvdIckOv1841c,Shorts,2024我愛我家世界兒童青少年繪畫大賽入圍-香港 李雪瑩（Lee Suet Ying）,CCTC 教育公益,CCTC 教育公益,https://www.ganjingworld.com/channel/1fqjgerdnp54F5xJGIvv5Q6BI1u00c,2025-10-17T05:06:51.961000Z,0,0,others,#2024我愛我家;#2024我愛我家世界兒童青少年繪畫大賽入圍;#CCTC;#cctc教育公益;#乾淨校園;#善念點亮台灣;#我愛我家繪畫歷程;#香港,https://www.ganjingworld.com/zh-TW/shorts/1i1aeppvurf1dWP9kGvdIckOv1841c,https://image1-us-west.cloudokyo.cloud/image/v3/5c/49/17/5c491718-4adc-4066-86e3-8c5579558068/360.webp
1i0p2j1s5gk4rFUIIfiwwkTyx1891c,News,雙十連假 一起嗨翻 諸羅搖滾音樂祭,開心花園,開心花園,https://www.ganjingworld.com/channel/1fp761k4u147eyl5QKb89jcW21a50c,2025-10-10T07:13:04.890000Z,2,0,zh-TW,#善念點亮台灣;#嘉義;#嘉義市文化局;#城市印象;#諸羅搖滾音樂祭,https://www.ganjingworld.com/zh-TW/news/1i0p2j1s5gk4rFUIIfiwwkTyx1891c,https://image1-us-west.cloudokyo.cloud/image/v3/94/b1/fe/94b1fee0-4795-41bb-ac7c-4fb83375d2d3/672.webp
1hutmp0dnrm5bAhDnVFqu3RQi1ls1c,Post,,臻的教學及生活手札,臻的教學及生活手札,https://www.ganjingworld.com/channel/1ft4sklrcdr5QSRrwnPbPQgem1vf0c,2025-09-16T16:34:35.230000Z,3,0,zh-TW,#善念點亮台灣;#妍妍;#臻的教學及生活手札;#芸朵兔,https://www.ganjingworld.com/zh-TW/post/1hutmp0dnrm5bAhDnVFqu3RQi1ls1c,
1i1am5ka7pv4st7p3E1HIamTA1ja1c,Video,2025彰化設計展－田中展區　#善良很酷 　#善念点亮台湾,廖儷芬台灣go,廖儷芬台灣go,https://www.ganjingworld.com/channel/1f6qmgtbprg1KZqkTSvuT15Mm19m0c,2025-10-17T07:18:44.852000Z,6,3,zh-TW,#善念点亮台湾;#善良很酷,https://www.ganjingworld.com/zh-TW/video/1i1am5ka7pv4st7p3E1HIamTA1ja1c,https://image5-us-west.cloudokyo.cloud/image/v3/f6/cc/66/f6cc6697-9247-4f93-bb0b-05c9b1dbf38d/672.webp
1i199430agd42qivz96J0CabX1uo1c,Shorts,"#善念點亮台灣
#美業點亮台灣
柔順直髮搭配熱紅酒玫瑰色～",剪刀手造型美學會館,剪刀手造型美學會館,https://www.ganjingworld.com/channel/1g0t2htkkqn4yaZcQySvFydpk1hr0c,2025-10-16T17:52:34.765000Z,2,0,zh-TW,#剪刀手美髮;#台中市北屯區燙髮染髮;#台中推薦美髮沙龍;#台中燙髮推薦;#台中網紅沙龍;#善念點亮台灣;#女神變髮日記;#指定造型;#網紅髮型收藏;#美業點亮台灣;#質感升級術;#韓系女神,https://www.ganjingworld.com/zh-TW/shorts/1i199430agd42qivz96J0CabX1uo1c,https://image1-us-west.cloudokyo.cloud/image/v3/f8/4f/46/f84f46be-bb31-4308-aa4d-d6f1b738c7fb/1920.jpg
1i0fh87ee2o2K6MruHg6MtGm21ga1c,News,救護超人｜行動護理師走入光復災區救人,小日子慢慢過,小日子慢慢過,https://www.ganjingworld.com/channel/1ffkauhd1gk7rvWbXXuavLH4L1ho0c,2025-10-06T12:08:50.376000Z,7,1,zh-TW,#善念點亮台灣;#救護超人;#花蓮光復鄉;#護理師;#鏟子超人,https://www.ganjingworld.com/zh-TW/news/1i0fh87ee2o2K6MruHg6MtGm21ga1c,https://image5-us-west.cloudokyo.cloud/image/v3/df/69/a9/df69a9f0-cb39-4e9b-9473-e8bd25581fbd/672.webp
1ho7euqehpb3q2fVz98GMQJYk1pk1c,Post,,歐媽媽,歐媽媽,https://www.ganjingworld.com/channel/1g1tuanslrcI5AawnYtSsYzam1mj0c,2025-06-23T11:44:56.346000Z,6,0,zh-TW,#乾淨世界;#善念點亮台灣,https://www.ganjingworld.com/zh-TW/post/1ho7euqehpb3q2fVz98GMQJYk1pk1c,
1i19retakvq6U95rWI7sl8pC41gt1c,Video,屏東卡那卡那富族米貢祭／攝影家周永田　　#善念点亮台湾 　#善良很酷,廖儷芬台灣go,廖儷芬台灣go,https://www.ganjingworld.com/channel/1f6qmgtbprg1KZqkTSvuT15Mm19m0c,2025-10-16T23:20:45.263000Z,9,2,zh-TW,#善念点亮台湾;#善良很酷,https://www.ganjingworld.com/zh-TW/video/1i19retakvq6U95rWI7sl8pC41gt1c,https://image1-us-west.cloudokyo.cloud/image/v3/dd/59/97/dd5997df-287b-4a95-948c-ec7192ccc0f0/672.webp
1i18snjp9bh4dCkLGOUQr6PK01ki1c,Shorts,我喜歡乾淨世界,海闊天空,海闊天空,https://www.ganjingworld.com/channel/1fs41pcovs56MfIUuTTyG5xPR1al0c,2025-10-16T14:10:51.251000Z,26,3,zh-TW,#BeKindBeCool;#乾淨校園;#善念點亮台灣,https://www.ganjingworld.com/zh-TW/shorts/1i18snjp9bh4dCkLGOUQr6PK01ki1c,https://image3-us-west.cloudokyo.cloud/image/v3/b6/45/54/b6455406-32d0-4148-853a-37c8b8f144ab/672.webp
1hubv3c08372lzncxiafk71Ti1n81c,News,北港王員外府上的退休快閃夜　　＃善念點亮台灣,廖儷芬台灣go,廖儷芬台灣go,https://www.ganjingworld.com/channel/1f6qmgtbprg1KZqkTSvuT15Mm19m0c,2025-09-09T15:15:37.559000Z,23,0,zh-TW,#北港;#善念点亮台湾;#王雅欽;#雲林,https://www.ganjingworld.com/zh-TW/news/1hubv3c08372lzncxiafk71Ti1n81c,https://image3-us-west.cloudokyo.cloud/image/v3/19/79/e9/1979e9eb-7840-49dc-b599-56019f017e16/672.webp
1hno43d8v9q1JhvcRndDH9KGB1oe1c,Post,,袁秀芬,袁秀芬,https://www.ganjingworld.com/channel/1hno3vg3akd4IDl7Fn4MoMifj1cn0c,2025-06-17T09:20:43.068000Z,1,1,zh-TW,#善念點亮台灣,https://www.ganjingworld.com/zh-TW/post/1hno43d8v9q1JhvcRndDH9KGB1oe1c,
